case_id,system_id,source_campaign,initial_bpr,best_model,gemma9b_improved_any,gemma9b_delta_best_vs_initial,gemma9b_best_bpr,gemma9b_dominant_failure_class,llama8b_improved_any,llama8b_delta_best_vs_initial,llama8b_best_bpr,llama8b_dominant_failure_class,mistral12b_improved_any,mistral12b_delta_best_vs_initial,mistral12b_best_bpr,mistral12b_dominant_failure_class,qwen14b_improved_any,qwen14b_delta_best_vs_initial,qwen14b_best_bpr,qwen14b_dominant_failure_class,qwen32b_improved_any,qwen32b_delta_best_vs_initial,qwen32b_best_bpr,qwen32b_dominant_failure_class,qwen7b_improved_any,qwen7b_delta_best_vs_initial,qwen7b_best_bpr,qwen7b_dominant_failure_class,any_model_improved
repair__c1_pilot_ollama_behavioral__login_system__qwen2_5_coder_7b__r01,login_system,c1_pilot_ollama_behavioral,0.3333333333333333,gemma9b,False,0.0,0.3333333333333333,invalid_patch_schema,False,0.0,0.3333333333333333,invalid_patch_schema,False,0.0,0.3333333333333333,duplicate_transition,False,0.0,0.3333333333333333,empty_patch,False,0.0,0.3333333333333333,empty_patch,False,0.0,0.3333333333333333,self_loop_rejected,False
repair__c1_pilot_ollama_behavioral__login_system__qwen2_5_coder_7b__r02,login_system,c1_pilot_ollama_behavioral,0.3333333333333333,gemma9b,False,0.0,0.3333333333333333,invalid_patch_schema,False,0.0,0.3333333333333333,invalid_patch_schema,False,0.0,0.3333333333333333,self_loop_rejected,False,0.0,0.3333333333333333,empty_patch,False,0.0,0.3333333333333333,empty_patch,False,0.0,0.3333333333333333,update_no_change,False
repair__c1_pilot_ollama_behavioral__login_system__qwen2_5_coder_7b__r03,login_system,c1_pilot_ollama_behavioral,0.3333333333333333,gemma9b,False,0.0,0.3333333333333333,invalid_patch_schema,False,0.0,0.3333333333333333,invalid_patch_schema,False,0.0,0.3333333333333333,duplicate_transition,False,0.0,0.3333333333333333,empty_patch,False,0.0,0.3333333333333333,,False,0.0,0.3333333333333333,duplicate_transition,False
repair__c1_pilot_ollama_behavioral__login_system__qwen2_5_coder_7b__r04,login_system,c1_pilot_ollama_behavioral,0.3333333333333333,gemma9b,False,0.0,0.3333333333333333,invalid_patch_schema,False,0.0,0.3333333333333333,invalid_patch_schema,False,0.0,0.3333333333333333,self_loop_rejected,False,0.0,0.3333333333333333,empty_patch,False,0.0,0.3333333333333333,empty_patch,False,0.0,0.3333333333333333,self_loop_rejected,False
repair__c1_pilot_ollama_behavioral__login_system__qwen2_5_coder_7b__r05,login_system,c1_pilot_ollama_behavioral,0.3333333333333333,gemma9b,False,0.0,0.3333333333333333,invalid_patch_schema,False,0.0,0.3333333333333333,invalid_patch_schema,False,0.0,0.3333333333333333,duplicate_transition,False,0.0,0.3333333333333333,empty_patch,False,0.0,0.3333333333333333,empty_patch,False,0.0,0.3333333333333333,update_no_change,False
repair__c1_pilot_ollama_behavioral__vending_machine__qwen2_5_coder_7b__r01,vending_machine,c1_pilot_ollama_behavioral,0.3333333333333333,gemma9b,False,0.0,0.3333333333333333,invalid_patch_schema,False,0.0,0.3333333333333333,invalid_patch_schema,False,0.0,0.3333333333333333,self_loop_rejected,False,0.0,0.3333333333333333,duplicate_transition,False,0.0,0.3333333333333333,empty_patch,False,0.0,0.3333333333333333,duplicate_transition,False
repair__c1_pilot_ollama_behavioral__vending_machine__qwen2_5_coder_7b__r02,vending_machine,c1_pilot_ollama_behavioral,0.3333333333333333,gemma9b,False,0.0,0.3333333333333333,invalid_patch_schema,False,0.0,0.3333333333333333,invalid_patch_schema,False,0.0,0.3333333333333333,self_loop_rejected,False,0.0,0.3333333333333333,duplicate_transition,False,0.0,0.3333333333333333,empty_patch,False,0.0,0.3333333333333333,duplicate_transition,False
repair__c1_pilot_ollama_behavioral__vending_machine__qwen2_5_coder_7b__r03,vending_machine,c1_pilot_ollama_behavioral,0.3333333333333333,gemma9b,False,0.0,0.3333333333333333,invalid_patch_schema,False,0.0,0.3333333333333333,invalid_patch_schema,False,0.0,0.3333333333333333,duplicate_transition,False,0.0,0.3333333333333333,duplicate_transition,False,0.0,0.3333333333333333,empty_patch,False,0.0,0.3333333333333333,duplicate_transition,False
repair__c1_pilot_ollama_behavioral__vending_machine__qwen2_5_coder_7b__r04,vending_machine,c1_pilot_ollama_behavioral,0.3333333333333333,gemma9b,False,0.0,0.3333333333333333,invalid_patch_schema,False,0.0,0.3333333333333333,invalid_patch_schema,False,0.0,0.3333333333333333,self_loop_rejected,False,0.0,0.3333333333333333,duplicate_transition,False,0.0,0.3333333333333333,empty_patch,False,0.0,0.3333333333333333,duplicate_transition,False
repair__c1_pilot_ollama_behavioral__vending_machine__qwen2_5_coder_7b__r05,vending_machine,c1_pilot_ollama_behavioral,0.3333333333333333,gemma9b,False,0.0,0.3333333333333333,invalid_patch_schema,False,0.0,0.3333333333333333,invalid_patch_schema,False,0.0,0.3333333333333333,duplicate_transition,False,0.0,0.3333333333333333,duplicate_transition,False,0.0,0.3333333333333333,empty_patch,False,0.0,0.3333333333333333,duplicate_transition,False
