model,failure_class,count,failure_events_total
gemma9b,duplicate_transition,0,125
gemma9b,empty_patch,0,125
gemma9b,invalid_patch_schema,121,125
gemma9b,missing_state,0,125
gemma9b,missing_transition_to_remove,0,125
gemma9b,other_patch_application_failure,4,125
gemma9b,self_loop_rejected,0,125
gemma9b,update_no_change,0,125
llama8b,duplicate_transition,0,135
llama8b,empty_patch,4,135
llama8b,invalid_patch_schema,131,135
llama8b,missing_state,0,135
llama8b,missing_transition_to_remove,0,135
llama8b,other_patch_application_failure,0,135
llama8b,self_loop_rejected,0,135
llama8b,update_no_change,0,135
mistral12b,duplicate_transition,42,90
mistral12b,empty_patch,15,90
mistral12b,invalid_patch_schema,0,90
mistral12b,missing_state,0,90
mistral12b,missing_transition_to_remove,2,90
mistral12b,other_patch_application_failure,16,90
mistral12b,self_loop_rejected,9,90
mistral12b,update_no_change,6,90
qwen14b,duplicate_transition,19,106
qwen14b,empty_patch,72,106
qwen14b,invalid_patch_schema,0,106
qwen14b,missing_state,0,106
qwen14b,missing_transition_to_remove,0,106
qwen14b,other_patch_application_failure,5,106
qwen14b,self_loop_rejected,0,106
qwen14b,update_no_change,10,106
qwen32b,duplicate_transition,29,120
qwen32b,empty_patch,76,120
qwen32b,invalid_patch_schema,0,120
qwen32b,missing_state,0,120
qwen32b,missing_transition_to_remove,0,120
qwen32b,other_patch_application_failure,0,120
qwen32b,self_loop_rejected,0,120
qwen32b,update_no_change,15,120
qwen7b,duplicate_transition,36,100
qwen7b,empty_patch,36,100
qwen7b,invalid_patch_schema,0,100
qwen7b,missing_state,6,100
qwen7b,missing_transition_to_remove,8,100
qwen7b,other_patch_application_failure,2,100
qwen7b,self_loop_rejected,10,100
qwen7b,update_no_change,2,100
